,Quarter,Tm,Detail,CIN,WAS
0,1.0,Redskins,George Rogers 1 yard rush (Mark Moseley kick),0,7
1,1.0,Bengals,Eddie Brown 8 yard pass from James Brooks (Jim Breech kick),7,7
2,1.0,Bengals,Rodney Holman 26 yard pass from Boomer Esiason (Jim Breech kick),14,7
3,1.0,Bengals,Rodney Holman 51 yard pass from Boomer Esiason (Jim Breech kick),21,7
4,2.0,Bengals,Jim Breech 38 yard field goal,24,7
5,2.0,Redskins,Art Monk 4 yard pass from Jay Schroeder (Mark Moseley kick),24,14
6,2.0,Redskins,Mark Moseley 42 yard field goal,24,17
7,3.0,Redskins,Mark Moseley 39 yard field goal,24,20
8,4.0,Redskins,George Rogers 34 yard rush (Mark Moseley kick),24,27
