,Quarter,Tm,Detail,WAS,MIN
0,1.0,Vikings,Fred Cox 21 yard field goal,0,3
1,2.0,Vikings,Gene Washington 5 yard pass from Joe Kapp (Fred Cox kick),0,10
2,2.0,Vikings,Fred Cox 29 yard field goal,0,13
3,2.0,Vikings,Gene Washington 61 yard pass from Joe Kapp (Fred Cox kick),0,20
4,4.0,Vikings,Charlie West 98 yard punt return (Fred Cox kick),0,27
5,4.0,Redskins,Pat Richter 5 yard pass from Harry Theofiledes (Charlie Gogolak kick),7,27
6,4.0,Redskins,Jim Smith 61 yard defensive fumble return (Charlie Gogolak kick),14,27
