,Quarter,Time,Tm,Detail,TEN,CIN
0,1.0,11:01,Bengals,Lorenzo Neal 1 yard pass from Jon Kitna (Neil Rackers kick),0,7
1,2.0,13:40,Bengals,Corey Dillon 4 yard rush (Neil Rackers kick),0,14
2,2.0,5:39,Titans,Joe Nedney 33 yard field goal,3,14
3,2.0,1:04,Titans,Joe Nedney 28 yard field goal,6,14
4,3.0,13:19,Titans,Derrick Mason 32 yard pass from Steve McNair (Joe Nedney kick),13,14
5,3.0,8:49,Titans,Kevin Dyson 39 yard pass from Steve McNair (Joe Nedney kick),20,14
6,3.0,5:10,Bengals,Neil Rackers 44 yard field goal,20,17
7,4.0,13:32,Bengals,Matt Schobel 8 yard pass from Jon Kitna (Neil Rackers kick),20,24
8,4.0,10:07,Titans,Derrick Mason 16 yard pass from Steve McNair (Joe Nedney kick),27,24
9,4.0,8:04,Titans,Joe Nedney 46 yard field goal,30,24
