,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,10:16,Vikings,Gary Anderson 35 yard field goal,0,3
1,1.0,3:58,Bears,John Allred 18 yard pass from Cade McNown (Paul Edinger kick),7,3
2,1.0,1:16,Vikings,Gary Anderson 38 yard field goal,7,6
3,2.0,5:19,Bears,Paul Edinger 29 yard field goal,10,6
4,2.0,1:51,Vikings,Gary Anderson 45 yard field goal,10,9
5,2.0,0:16,Bears,Paul Edinger 49 yard field goal,13,9
6,3.0,10:10,Bears,Marcus Robinson 48 yard pass from Cade McNown (Paul Edinger kick),20,9
7,3.0,5:24,Vikings,Daunte Culpepper 1 yard rush (Gary Anderson kick),20,16
8,4.0,10:59,Vikings,Daunte Culpepper 7 yard rush (Gary Anderson kick),20,23
9,4.0,4:35,Vikings,Daunte Culpepper 4 yard rush (Gary Anderson kick),20,30
10,4.0,1:17,Bears,Cade McNown 8 yard rush (Paul Edinger kick),27,30
