,Quarter,Time,Tm,Detail,TEN,NWE
0,1.0,12:41,Patriots,Nick Folk 36 yard field goal,0,3
1,1.0,5:44,Titans,Anthony Firkser 12 yard pass from Ryan Tannehill (Greg Joseph kick),7,3
2,2.0,15:00,Patriots,Julian Edelman 5 yard rush (Nick Folk kick),7,10
3,2.0,2:18,Patriots,Nick Folk 21 yard field goal,7,13
4,2.0,0:38,Titans,Derrick Henry 1 yard rush (Greg Joseph kick),14,13
5,4.0,0:15,Titans,Logan Ryan 9 yard interception return (run failed),20,13
