,Quarter,Tm,Detail,DTX,SFO
0,1.0,49ers,Gordie Soltau 11 yard pass from Frankie Albert (Gordie Soltau kick),0,7
1,1.0,49ers,Hugh McElhenny 19 yard pass from Frankie Albert (Gordie Soltau kick),0,14
2,2.0,49ers,Joe Perry 78 yard rush,0,20
3,2.0,49ers,Bob White 41 yard pass from Frankie Albert (Gordie Soltau kick),0,27
4,2.0,Texans,Buddy Young 45 yard pass from Bob Celeri (Chubby Grigg kick),7,27
5,3.0,49ers,Bennie Aldridge 16 yard pass from Y.A. Tittle (Gordie Soltau kick),7,34
6,4.0,49ers,Hugh McElhenny 83 yard rush (Gordie Soltau kick),7,41
7,4.0,49ers,Pat O'Donahue 23 yard blocked punt return (Gordie Soltau kick),7,48
8,4.0,Texans,Bob Celeri 13 yard pass from Hank Lauricella (Chubby Grigg kick),14,48
9,4.0,Texans,Billy Baggett 27 yard pass from Hank Lauricella (Chubby Grigg kick),21,48
