,Quarter,Tm,Detail,BAL,NWE
0,1.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),7,0
1,2.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),7,7
2,2.0,Patriots,Andy Johnson 3 yard rush (John Smith kick),7,14
3,3.0,Colts,Toni Linhart 34 yard field goal,10,14
4,4.0,Patriots,Andy Johnson 66 yard rush (John Smith kick),10,21
