,Quarter,Tm,Detail,GNB,DTX
0,1.0,Packers,Bob Mann 28 yard pass from Tobin Rote (Fred Cone kick),7,0
1,2.0,Texans,Dick Hoerner 3 yard rush (Chubby Grigg kick),7,7
2,2.0,Texans,George Taliaferro 78 yard pass from Bob Celeri (Chubby Grigg kick),7,14
3,3.0,Packers,Billy Howton 21 yard pass from Tobin Rote (Fred Cone kick),14,14
4,3.0,Packers,Bill Reichardt 31 yard field goal,17,14
5,4.0,Packers,Billy Howton 10 yard pass from Babe Parilli (Fred Cone kick),24,14
