,Quarter,Tm,Detail,ATL,DET
0,2.0,Falcons,Bubba Bean 5 yard rush (Nick Mike-Mayer kick),7,0
1,3.0,Falcons,Nick Mike-Mayer 41 yard field goal,10,0
2,4.0,Lions,Greg Landry 5 yard rush (Errol Mann kick),10,7
3,4.0,Lions,Errol Mann 32 yard field goal,10,10
4,4.0,Lions,Ed O'Neil 32 yard pass from Joe Reed (Errol Mann kick),10,17
5,4.0,Lions,James Hunter 39 yard interception return (Errol Mann kick),10,24
