,Quarter,Time,Tm,Detail,ATL,SDG
0,2.0,,Falcons,Terance Mathis 19 yard pass from Chris Chandler (Morten Andersen kick),7,0
1,3.0,15:00,Falcons,Byron Hanspard 99 yard kickoff return (Morten Andersen kick),14,0
2,3.0,15:00,Chargers,Greg Davis 37 yard field goal,14,3
