,Quarter,Tm,Detail,NOR,WAS
0,1.0,Saints,Wes Chandler 45 yard pass from Archie Manning (Garo Yepremian kick),7,0
1,1.0,Redskins,Mark Moseley 18 yard field goal,7,3
2,2.0,Saints,Tony Galbreath 2 yard rush (Garo Yepremian kick),14,3
3,2.0,Redskins,Joe Theismann 1 yard rush (Mark Moseley kick),14,10
