,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,6:34,Chiefs,Todd Peterson 39 yard field goal,3,0
1,1.0,4:23,Chargers,Freddie Jones 20 yard pass from Ryan Leaf (John Carney kick),3,7
2,2.0,13:12,Chargers,Freddie Jones 7 yard pass from Ryan Leaf (John Carney kick),3,14
3,2.0,4:32,Chiefs,Todd Peterson 34 yard field goal,6,14
4,3.0,13:58,Chiefs,Marvcus Patton 24 yard interception return (Todd Peterson kick),13,14
5,3.0,1:51,Chiefs,Todd Peterson 30 yard field goal,16,14
6,4.0,2:14,Chargers,John Carney 52 yard field goal,16,17
