,Quarter,Time,Tm,Detail,PHI,WAS
0,1.0,,Eagles,Ricky Watters 9 yard rush,6,0
1,4.0,,Redskins,Terry Allen 7 yard rush (Eddie Murray kick),6,7
2,4.0,,Eagles,Ricky Watters 1 yard rush (Calvin Williams pass from Rodney Peete),14,7
