,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Wayne Walker 46 yard field goal,3,0
1,1.0,Lions,Dan Lewis 2 yard rush (Wayne Walker kick),10,0
2,2.0,Lions,Wayne Walker 12 yard field goal,13,0
3,2.0,Lions,Dick LeBeau 70 yard interception return (Wayne Walker kick),20,0
4,3.0,Rams,"Safety, Ferguson tackled in end zone by Crow",20,2
5,4.0,Lions,Wayne Walker 34 yard field goal,23,2
