,Quarter,Time,Tm,Detail,ATL,DEN
0,1.0,8:25,Broncos,Mike Anderson 2 yard rush (Jason Elam kick),0,7
1,1.0,7:14,Broncos,Jason Elam 29 yard field goal,0,10
2,1.0,1:42,Broncos,Jason Elam 51 yard field goal,0,13
3,2.0,12:14,Broncos,Howard Griffith 6 yard pass from Brian Griese (Jason Elam kick),0,20
4,2.0,8:27,Broncos,Mike Anderson 20 yard rush (Jason Elam kick),0,27
5,2.0,0:56,Broncos,Rod Smith 11 yard pass from Brian Griese (Jason Elam kick),0,34
6,2.0,0:43,Falcons,Darrick Vaughn 100 yard kickoff return (Morten Andersen kick),7,34
7,3.0,10:53,Broncos,Rod Smith 37 yard pass from Brian Griese (Mike Anderson run),7,42
8,3.0,3:04,Falcons,Tim Dwight 35 yard pass from Chris Chandler (Morten Andersen kick),14,42
