,Quarter,Time,Tm,Detail,WAS,TAM
0,1.0,4:42,Buccaneers,Connor Barth 50 yard field goal,0,3
1,1.0,0:00,Redskins,Pierre Garcon offensive fumble recovery in end zone (Billy Cundiff kick),7,3
2,2.0,7:26,Redskins,Robert Griffin III 5 yard rush (Billy Cundiff kick),14,3
3,2.0,5:15,Redskins,Alfred Morris 39 yard rush (Billy Cundiff kick),21,3
4,2.0,1:55,Buccaneers,Connor Barth 57 yard field goal,21,6
5,3.0,1:56,Buccaneers,Vincent Jackson 7 yard pass from Josh Freeman (Connor Barth kick),21,13
6,4.0,9:41,Buccaneers,LeGarrette Blount 2 yard rush (pass failed),21,19
7,4.0,1:42,Buccaneers,Connor Barth 47 yard field goal,21,22
8,4.0,0:03,Redskins,Billy Cundiff 41 yard field goal,24,22
