,Quarter,Tm,Detail,CLE,PIT
0,1.0,Steelers,Gary Anderson 18 yard field goal,0,3
1,1.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),0,10
2,1.0,Steelers,Mike Merriweather 31 yard interception return (Gary Anderson kick),0,17
3,1.0,Browns,Matt Bahr 27 yard field goal,3,17
4,1.0,Steelers,Gary Anderson 29 yard field goal,3,20
5,2.0,Browns,Boyce Green 23 yard rush (Matt Bahr kick),10,20
6,2.0,Steelers,Franco Harris 1 yard rush (Gary Anderson kick),10,27
7,2.0,Steelers,Calvin Sweeney 40 yard pass from Cliff Stoudt (Gary Anderson kick),10,34
8,3.0,Browns,Boyce Green 1 yard rush (Matt Bahr kick),17,34
9,4.0,Steelers,Gary Anderson 26 yard field goal,17,37
10,4.0,Steelers,Greg Best 94 yard defensive fumble return (Gary Anderson kick),17,44
