,Quarter,Time,Tm,Detail,SEA,ATL
0,1.0,6:26,Seahawks,Jimmy Graham 7 yard pass from Russell Wilson (Stephen Hauschka kick),7,0
1,2.0,14:14,Falcons,Julio Jones 7 yard pass from Matt Ryan (Matt Bryant kick),7,7
2,2.0,11:20,Seahawks,Stephen Hauschka 33 yard field goal,10,7
3,2.0,9:22,Falcons,"Safety, Ben Garland russell Wilson sack in end zone",10,9
4,2.0,6:06,Falcons,Matt Bryant 35 yard field goal,10,12
5,2.0,0:53,Falcons,Tevin Coleman 14 yard pass from Matt Ryan (Matt Bryant kick),10,19
6,3.0,9:12,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),10,26
7,3.0,3:03,Seahawks,Stephen Hauschka 26 yard field goal,13,26
8,4.0,14:57,Falcons,Matt Bryant 31 yard field goal,13,29
9,4.0,3:40,Falcons,Mohamed Sanu 3 yard pass from Matt Ryan (Matt Bryant kick),13,36
10,4.0,3:21,Seahawks,Doug Baldwin 31 yard pass from Russell Wilson (Stephen Hauschka kick),20,36
