,Quarter,Tm,Detail,WAS,PHO
0,1.0,Redskins,Chip Lohmiller 29 yard field goal,3,0
1,2.0,Redskins,Earnest Byner 1 yard rush (Chip Lohmiller kick),10,0
2,2.0,Cardinals,Al Del Greco 27 yard field goal,10,3
3,2.0,Cardinals,Earl Ferrell 1 yard rush (Al Del Greco kick),10,10
4,3.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),17,10
5,3.0,Redskins,A.J. Johnson 59 yard interception return (Chip Lohmiller kick),24,10
6,4.0,Redskins,Chip Lohmiller 24 yard field goal,27,10
7,4.0,Redskins,"Safety, Tupa intentional grounding penalty in end zone",29,10
