,Quarter,Tm,Detail,SDG,IND
0,1.0,Chargers,Earnest Jackson 2 yard rush (Rolf Benirschke kick),7,0
1,2.0,Chargers,Rolf Benirschke 23 yard field goal,10,0
2,2.0,Colts,Ray Butler 74 yard pass from Mark Herrmann (Raul Allegre kick),10,7
3,2.0,Chargers,Charlie Joiner 7 yard pass from Dan Fouts (Rolf Benirschke kick),17,7
4,3.0,Chargers,Wayne Morris 1 yard rush (Rolf Benirschke kick),24,7
5,3.0,Colts,Raul Allegre 54 yard field goal,24,10
6,4.0,Chargers,Wes Chandler 20 yard pass from Dan Fouts (Rolf Benirschke kick),31,10
7,4.0,Chargers,Buford McGee 2 yard pass from Dan Fouts (Rolf Benirschke kick),38,10
