,Quarter,Tm,Detail,CLE,BAL
0,1.0,Colts,Don McCauley 2 yard rush (Toni Linhart kick),0,7
1,2.0,Colts,Toni Linhart 23 yard field goal,0,10
2,2.0,Browns,Calvin Hill 53 yard pass from Brian Sipe (Don Cockroft kick),7,10
3,2.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),14,10
4,2.0,Browns,Don Cockroft 45 yard field goal,17,10
5,3.0,Browns,Calvin Hill 37 yard pass from Brian Sipe (Don Cockroft kick),24,10
6,3.0,Browns,Oliver Davis 29 yard interception return (Don Cockroft kick),31,10
7,3.0,Colts,Roger Carr 24 yard pass from Bill Troup (Toni Linhart kick),31,17
8,4.0,Browns,Calvin Hill 23 yard pass from Brian Sipe (Don Cockroft kick),38,17
9,4.0,Colts,Mack Alston 2 yard pass from Bill Troup (Toni Linhart kick),38,24
10,4.0,Browns,Reggie Rucker 25 yard pass from Brian Sipe (Don Cockroft kick),45,24
