,Quarter,Tm,Detail,RAM,BAL
0,1.0,Rams,David Ray 20 yard field goal,3,0
1,2.0,Colts,Tom Matte 4 yard rush (Jim O'Brien kick),3,7
2,2.0,Rams,Les Josephson 12 yard pass from Roman Gabriel (David Ray kick),10,7
3,4.0,Colts,Jim O'Brien 32 yard field goal,10,10
4,4.0,Colts,Ted Hendricks 31 yard defensive fumble return (Jim O'Brien kick),10,17
5,4.0,Colts,Tom Matte 23 yard rush (Jim O'Brien kick),10,24
6,4.0,Rams,Matt Maslowski 36 yard pass from Roman Gabriel (David Ray kick),17,24
