,Quarter,Tm,Detail,NWE,BUF
0,2.0,Bills,Steve Christie 28 yard field goal,0,3
1,2.0,Bills,Bill Brooks 4 yard pass from Jim Kelly (Steve Christie kick),0,10
2,2.0,Patriots,Ben Coates 54 yard pass from Drew Bledsoe (Scott Sisson kick),7,10
3,2.0,Bills,Andre Reed 41 yard pass from Jim Kelly (Steve Christie kick),7,17
4,3.0,Patriots,Greg McMurtry 2 yard pass from Drew Bledsoe (Scott Sisson kick),14,17
5,4.0,Bills,Andre Reed 22 yard pass from Jim Kelly (Steve Christie kick),14,24
6,4.0,Bills,Andre Reed 14 yard pass from Jim Kelly (Steve Christie kick),14,31
7,4.0,Bills,Russell Copeland 47 yard punt return (Steve Christie kick),14,38
