,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Ollie Smith 12 yard pass from Carlos Brown,6,0
1,2.0,Vikings,Fred Cox 34 yard field goal,6,3
2,3.0,Vikings,Fred Cox 30 yard field goal,6,6
3,4.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),6,13
4,4.0,Packers,Chester Marcol 24 yard field goal,9,13
5,4.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),9,20
