,Quarter,Tm,Detail,RAM,KAN
0,2.0,Rams,Eric Dickerson 1 yard rush (Mike Lansford kick),7,0
1,2.0,Rams,Mike Lansford 33 yard field goal,10,0
2,2.0,Rams,Mike Lansford 37 yard field goal,13,0
3,3.0,Rams,Mike Lansford 30 yard field goal,16,0
