,Quarter,Time,Tm,Detail,DET,WAS
0,1.0,,Redskins,Scott Blanton 22 yard field goal,0,3
1,2.0,,Redskins,James Jenkins 1 yard pass from Gus Frerotte (Scott Blanton kick),0,10
2,2.0,,Redskins,Scott Blanton 50 yard field goal,0,13
3,3.0,,Redskins,Terry Allen 1 yard rush (Scott Blanton kick),0,20
4,3.0,,Lions,Barry Sanders 51 yard rush (Jason Hanson kick),7,20
5,4.0,,Redskins,Scott Blanton 45 yard field goal,7,23
6,4.0,,Redskins,Darryl Pounds 22 yard interception return (Scott Blanton kick),7,30
