,Quarter,Time,Tm,Detail,HOU,NWE
0,1.0,10:33,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,1.0,7:22,Texans,Ka'imi Fairbairn 39 yard field goal,3,7
2,1.0,1:51,Texans,Bruce Ellington 29 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,7
3,2.0,12:25,Patriots,Chris Hogan 7 yard pass from Tom Brady (Stephen Gostkowski kick),10,14
4,2.0,7:01,Texans,Ka'imi Fairbairn 40 yard field goal,13,14
5,2.0,6:15,Texans,Jadeveon Clowney 22 yard fumble return (Ka'imi Fairbairn kick),20,14
6,2.0,3:58,Patriots,Chris Hogan 47 yard pass from Tom Brady (Stephen Gostkowski kick),20,21
7,3.0,12:45,Patriots,Brandin Cooks 42 yard pass from Tom Brady (Stephen Gostkowski kick),20,28
8,3.0,7:12,Texans,Ryan Griffin 12 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),27,28
9,4.0,12:13,Texans,Ka'imi Fairbairn 31 yard field goal,30,28
10,4.0,2:24,Texans,Ka'imi Fairbairn 36 yard field goal,33,28
11,4.0,0:23,Patriots,Brandin Cooks 25 yard pass from Tom Brady (Brandin Cooks pass from Tom Brady ),33,36
