,Quarter,Time,Tm,Detail,DAL,ARI
0,1.0,,Cowboys,Chris Warren 3 yard rush (Richie Cunningham kick),7,0
1,1.0,,Cowboys,Daryl Johnston 1 yard pass from Troy Aikman (Richie Cunningham kick),14,0
2,2.0,,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),21,0
3,2.0,,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),28,0
4,2.0,0:18,Cardinals,Frank Sanders 2 yard pass from Jake Plummer (Joe Nedney kick),28,7
5,3.0,0:18,Cardinals,Mario Bates 2 yard rush (Joe Nedney kick),28,14
6,3.0,0:18,Cowboys,Emmitt Smith 3 yard rush (Richie Cunningham kick),35,14
7,3.0,0:18,Cardinals,Rob Moore 3 yard pass from Jake Plummer (Joe Nedney kick),35,21
8,4.0,0:18,Cardinals,Adrian Murrell 7 yard pass from Jake Plummer (Joe Nedney kick),35,28
