,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Rafael Septien 27 yard field goal,3,0
1,1.0,Redskins,Charlie Brown 19 yard pass from Joe Theismann (Mark Moseley kick),3,7
2,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),3,14
3,3.0,Cowboys,Drew Pearson 6 yard pass from Gary Hogeboom (Rafael Septien kick),10,14
4,3.0,Redskins,John Riggins 4 yard rush (Mark Moseley kick),10,21
5,3.0,Cowboys,Butch Johnson 23 yard pass from Gary Hogeboom (Rafael Septien kick),17,21
6,4.0,Redskins,Mark Moseley 29 yard field goal,17,24
7,4.0,Redskins,Darryl Grant 10 yard interception return (Mark Moseley kick),17,31
