,Quarter,Tm,Detail,PIT,DET
0,2.0,Lions,Jack Helms 35 yard field goal,0,3
1,2.0,Lions,Billy deCorrevont 72 yard pass from Dave Ryan (Chuck DeShane kick),0,10
2,4.0,Steelers,Bill Dutton 12 yard rush (Bill Dudley kick),7,10
3,4.0,Lions,John Greene 88 yard pass from Dave Ryan (Chuck DeShane kick),7,17
