,Quarter,Time,Tm,Detail,MIN,CIN
0,1.0,,Vikings,Fuad Reveiz 20 yard field goal,3,0
1,1.0,,Bengals,Doug Pelfrey 44 yard field goal,3,3
2,2.0,,Vikings,Jake Reed 51 yard pass from Warren Moon (Fuad Reveiz kick),10,3
3,2.0,,Vikings,Alfred Jackson 37 yard interception return (Fuad Reveiz kick),17,3
4,2.0,,Vikings,Cris Carter 14 yard pass from Warren Moon (Fuad Reveiz kick),24,3
5,3.0,,Bengals,Eric Bieniemy 5 yard rush (Doug Pelfrey kick),24,10
6,3.0,,Bengals,Carl Pickens 11 yard pass from Jeff Blake (Doug Pelfrey kick),24,17
7,4.0,,Bengals,Tony McGee 5 yard pass from Jeff Blake (Doug Pelfrey kick),24,24
8,4.0,,Bengals,Doug Pelfrey 51 yard field goal,24,27
