,Quarter,Tm,Detail,MIA,NOR
0,1.0,Saints,Dalton Hilliard 1 yard rush (Morten Andersen kick),0,7
1,2.0,Dolphins,Mark Duper 2 yard pass from Dan Marino (Pete Stoyanovich kick),7,7
2,3.0,Dolphins,Pete Stoyanovich 48 yard field goal,10,7
3,3.0,Saints,Morten Andersen 26 yard field goal,10,10
4,3.0,Saints,Robert Goff 28 yard defensive fumble return (Morten Andersen kick),10,17
5,4.0,Dolphins,Pete Stoyanovich 34 yard field goal,13,17
6,4.0,Saints,Vince Buck 34 yard interception return (Morten Andersen kick),13,24
