,Quarter,Time,Tm,Detail,BUF,MIA
0,2.0,,Bills,Eric Moulds 28 yard pass from Rob Johnson (Steve Christie kick),7,0
1,2.0,1:06,Dolphins,Lamar Thomas 17 yard pass from Dan Marino (Olindo Mare kick),7,7
2,3.0,1:06,Dolphins,Olindo Mare 33 yard field goal,7,10
3,4.0,1:06,Dolphins,Olindo Mare 27 yard field goal,7,13
