,Quarter,Time,Tm,Detail,DET,ARI
0,1.0,10:44,Lions,David Sloan 7 yard pass from Gus Frerotte (Jason Hanson kick),7,0
1,1.0,7:59,Cardinals,Chris Jacke 35 yard field goal,7,3
2,2.0,13:18,Cardinals,Mario Bates 3 yard rush (Chris Jacke kick),7,10
3,2.0,5:11,Cardinals,Chris Jacke 35 yard field goal,7,13
4,2.0,0:00,Cardinals,Chris Jacke 49 yard field goal,7,16
5,3.0,11:11,Cardinals,Michael Pittman 58 yard rush (Chris Jacke kick),7,23
6,3.0,10:51,Lions,Germane Crowell 77 yard pass from Gus Frerotte (pass failed),13,23
7,4.0,5:26,Lions,Terry Fair 35 yard defensive fumble return (pass failed),19,23
