,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Bill Hewitt 10 yard pass from Beattie Feathers (Jack Manders kick),7,0
1,4.0,Cardinals,George Grosvenor 1 yard rush (Bill Smith kick),7,7
2,4.0,Cardinals,George Grosvenor 66 yard rush (Bill Smith kick),7,14
