,Quarter,Tm,Detail,PIT,RAM
0,1.0,Rams,Bernie Casey 5 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,Steelers,Booth Lusteg 20 yard field goal,3,7
2,2.0,Rams,Bruce Gossett 12 yard field goal,3,10
3,2.0,Steelers,Earl Gros 1 yard rush (Booth Lusteg kick),10,10
4,2.0,Rams,Bernie Casey 55 yard pass from Roman Gabriel (Bruce Gossett kick),10,17
5,2.0,Rams,Dick Bass 28 yard pass from Roman Gabriel (Bruce Gossett kick),10,24
6,2.0,Rams,Dick Bass 10 yard rush (Bruce Gossett kick),10,31
7,3.0,Rams,Dick Bass 1 yard pass from Roman Gabriel (Bruce Gossett kick),10,38
8,4.0,Rams,Willie Ellison 4 yard pass from Milt Plum (Bruce Gossett kick),10,45
