,Quarter,Tm,Detail,NOR,ATL
0,1,Falcons,Ken Burrow 9 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),0,7
1,2,Falcons,Jim Mitchell 50 yard offensive fumble return (Nick Mike-Mayer kick),0,14
2,3,Saints,Alvin Maxson 1 yard rush (Bill McClard kick),7,14
