,Quarter,Tm,Detail,MIA,NOR
0,1.0,Dolphins,Lorenzo Hampton 4 yard rush (Fuad Reveiz kick),7,0
1,1.0,Saints,Rueben Mayes 20 yard rush (Morten Andersen kick),7,7
2,1.0,Dolphins,Dan Johnson 13 yard pass from Dan Marino (Fuad Reveiz kick),14,7
3,2.0,Dolphins,Bruce Hardy 4 yard pass from Dan Marino (Fuad Reveiz kick),21,7
4,2.0,Saints,Morten Andersen 27 yard field goal,21,10
5,2.0,Dolphins,Fuad Reveiz 43 yard field goal,24,10
6,2.0,Dolphins,Tony Nathan 23 yard pass from Dan Marino (Fuad Reveiz kick),31,10
7,3.0,Saints,Rueben Mayes 34 yard rush (Morten Andersen kick),31,17
8,3.0,Saints,Morten Andersen 29 yard field goal,31,20
9,4.0,Saints,John Tice 3 yard pass from Dave Wilson (Morten Andersen kick),31,27
