,Quarter,Time,Tm,Detail,BUF,BAL
0,1.0,0:35,Ravens,Justin Tucker 50 yard field goal,0,3
1,2.0,10:11,Ravens,Mike Wallace 66 yard pass from Joe Flacco (Justin Tucker kick),0,10
2,2.0,3:02,Bills,LeSean McCoy 1 yard rush (Dan Carpenter kick),7,10
3,4.0,5:39,Ravens,Justin Tucker 37 yard field goal,7,13
