,Quarter,Time,Tm,Detail,TAM,WAS
0,1,1:38,Buccaneers,Mike Alstott 2 yard rush (Martin Gramatica kick),7,0
1,2,3:14,Redskins,Stephen Davis 50 yard rush (Michael Husted kick),7,7
2,3,7:51,Redskins,Michael Husted 28 yard field goal,7,10
3,4,3:57,Redskins,Larry Centers 8 yard pass from Brad Johnson (Michael Husted kick),7,17
4,4,2:00,Buccaneers,Reidel Anthony 46 yard pass from Shaun King (Martin Gramatica kick),14,17
5,4,0:00,Buccaneers,Martin Gramatica 42 yard field goal,17,17
6,OT,10:51,Redskins,Michael Husted 20 yard field goal,17,20
