,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Anthony Carter 40 yard pass from Tommy Kramer (Chuck Nelson kick),7,0
1,1.0,Bears,Ron Morris 11 yard pass from Jim McMahon (Kevin Butler kick),7,7
2,2.0,Vikings,Hassan Jones 19 yard pass from Tommy Kramer (Chuck Nelson kick),14,7
3,2.0,Vikings,Chuck Nelson 31 yard field goal,17,7
4,3.0,Vikings,Chris Martin special teams fumble recovery in end zone (Chuck Nelson kick),24,7
5,3.0,Vikings,Anthony Carter 16 yard pass from Tommy Kramer (Chuck Nelson kick),31,7
