,Quarter,Tm,Detail,COL,CRD
0,1.0,Cardinals,Paddy Driscoll 45 yard field goal,0,3
1,2.0,Cardinals,Bob Koehler 5 yard rush (Paddy Driscoll kick),0,10
2,2.0,Cardinals,Bob Koehler 7 yard rush (Paddy Driscoll kick),0,17
3,2.0,Cardinals,Arnie Horween unknown yard rush (Ralph Horween kick),0,24
4,3.0,Cardinals,Johnny Mohardt unknown yard pass from Paddy Driscoll,0,30
5,4.0,Cardinals,Paddy Driscoll unknown yard pass from Johnny Mohardt (Ralph Horween kick),0,37
6,4.0,Panhandles,Frank Nesser 45 yard pass from Lee Snoots,6,37
