,Quarter,Tm,Detail,CLE,RAM
0,1.0,Browns,Lou Groza 26 yard field goal,3,0
1,2.0,Browns,Don Paul 65 yard interception return (Lou Groza kick),10,0
2,2.0,Rams,Skeets Quinlan 67 yard pass from Norm Van Brocklin (Les Richter kick),10,7
3,2.0,Browns,Dante Lavelli 50 yard pass from Otto Graham (Lou Groza kick),17,7
4,3.0,Browns,Otto Graham 15 yard rush (Lou Groza kick),24,7
5,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),31,7
6,4.0,Browns,Ray Renfro 35 yard pass from Otto Graham (Lou Groza kick),38,7
7,4.0,Rams,Ron Waller 4 yard rush (Les Richter kick),38,14
