,Quarter,Tm,Detail,MIN,CRD
0,3.0,Cardinals,Paddy Driscoll 25 yard field goal,0,3
1,4.0,Cardinals,Paddy Driscoll 43 yard field goal,0,6
2,4.0,Cardinals,Paddy Driscoll 25 yard field goal,0,9
