,Quarter,Tm,Detail,BUF,PRV
0,2,Steam Roller,Jack Cronin 2 yard rush (Jack McBride kick),0,7
1,3,Bisons,Swede Hagberg 34 yard pass from Jim Woodruff (Chuck Weimer kick),7,7
