,Quarter,Time,Tm,Detail,OAK,MIN
0,1.0,5:03,Vikings,Carlester Crumpler 31 yard pass from Randall Cunningham (Gary Anderson kick),0,7
1,2.0,11:34,Raiders,Michael Husted 36 yard field goal,3,7
2,2.0,8:16,Vikings,Gary Anderson 37 yard field goal,3,10
3,2.0,0:36,Raiders,Michael Husted 37 yard field goal,6,10
4,3.0,8:55,Raiders,James Jett 9 yard pass from Rich Gannon (Michael Husted kick),13,10
5,3.0,7:01,Raiders,Michael Husted 42 yard field goal,16,10
6,3.0,1:08,Raiders,Rich Gannon 5 yard rush (pass failed),22,10
7,4.0,14:06,Vikings,Jake Reed 28 yard pass from Randall Cunningham (Gary Anderson kick),22,17
