,Quarter,Time,Tm,Detail,MIN,DET
0,1.0,12:56,Lions,Stephen Tulloch defensive fumble recovery in end zone (Jason Hanson kick),0,7
1,1.0,9:45,Lions,Titus Young 57 yard pass from Matthew Stafford (Jason Hanson kick),0,14
2,1.0,5:54,Lions,Brandon Pettigrew 12 yard pass from Matthew Stafford (Jason Hanson kick),0,21
3,1.0,1:51,Vikings,Visanthe Shiancoe 7 yard pass from Christian Ponder (Ryan Longwell kick),7,21
4,2.0,12:33,Lions,Alphonso Smith 30 yard interception return (Jason Hanson kick),7,28
5,2.0,7:36,Vikings,Percy Harvin 6 yard pass from Christian Ponder (Ryan Longwell kick),14,28
6,2.0,1:05,Lions,Jason Hanson 30 yard field goal,14,31
7,3.0,4:21,Vikings,Joe Webb 65 yard rush (Ryan Longwell kick),21,31
8,4.0,12:17,Lions,Jason Hanson 26 yard field goal,21,34
9,4.0,7:54,Vikings,Toby Gerhart 2 yard pass from Joe Webb (Ryan Longwell kick),28,34
