,Quarter,Time,Tm,Detail,WAS,MIN
0,1.0,12:51,Redskins,Terry Allen 2 yard rush (Cary Blanchard kick),7,0
1,1.0,12:51,Vikings,Andrew Glover 11 yard pass from Randall Cunningham (Gary Anderson kick),7,7
2,1.0,12:51,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),7,14
3,2.0,0:17,Vikings,Cris Carter 1 yard pass from Randall Cunningham (Gary Anderson kick),7,21
4,3.0,0:17,Vikings,Gary Anderson 49 yard field goal,7,24
5,4.0,0:17,Vikings,Robert Smith 19 yard rush (Gary Anderson kick),7,31
6,4.0,0:17,Vikings,Gary Anderson 46 yard field goal,7,34
7,4.0,1:54,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),7,41
