,Quarter,Tm,Detail,CRD,PHI
0,2.0,Eagles,Jim Castiglia 4 yard rush (Dan DeSantis kick),0,7
1,2.0,Eagles,Wes McAfee 12 yard pass from Tommy Thompson (Wes McAfee kick),0,14
2,3.0,Eagles,Jim Castiglia 3 yard rush (Wes McAfee kick),0,21
3,3.0,Cardinals,Billy Dewell 20 yard pass from Johnny Clement (Lou Zontini kick),7,21
4,4.0,Cardinals,Marshall Goldberg unknown yard rush (Bill Daddio kick),14,21
