,Quarter,Tm,Detail,NYG,NOR
0,1.0,Giants,Mark Jackson 9 yard pass from Phil Simms (David Treadwell kick),7,0
1,2.0,Giants,Howard Cross 17 yard pass from Phil Simms (David Treadwell kick),14,0
2,2.0,Saints,Brad Muster 1 yard rush (Morten Andersen kick),14,7
3,3.0,Giants,David Treadwell 22 yard field goal,17,7
4,4.0,Giants,Dave Meggett 75 yard punt return (David Treadwell kick),24,7
5,4.0,Saints,Dalton Hilliard 5 yard pass from Mike Buck (Morten Andersen kick),24,14
