,Quarter,Time,Tm,Detail,MIN,HOU
0,1.0,5:11,Vikings,Dalvin Cook 5 yard rush (Dan Bailey kick),7,0
1,2.0,12:45,Vikings,Dan Bailey 31 yard field goal,10,0
2,2.0,8:50,Texans,Ka'imi Fairbairn 50 yard field goal,10,3
3,2.0,2:00,Vikings,Dalvin Cook 7 yard rush (Dan Bailey kick),17,3
4,2.0,0:30,Texans,Ka'imi Fairbairn 28 yard field goal,17,6
5,3.0,9:52,Texans,Will Fuller 24 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),17,13
6,3.0,5:33,Texans,Ka'imi Fairbairn 25 yard field goal,17,16
7,3.0,0:46,Vikings,Adam Thielen 9 yard pass from Kirk Cousins (Dan Bailey kick),24,16
8,4.0,10:54,Vikings,Alexander Mattison 4 yard rush (Dan Bailey kick),31,16
9,4.0,5:59,Texans,Kenny Stills 24 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),31,23
