,Quarter,Time,Tm,Detail,CHI,JAX
0,1.0,,Bears,Kevin Butler 25 yard field goal,3,0
1,1.0,,Jaguars,James Stewart 7 yard pass from Mark Brunell (Mike Hollis kick),3,7
2,2.0,,Jaguars,Mike Hollis 49 yard field goal,3,10
3,2.0,,Bears,Curtis Conway 10 yard pass from Erik Kramer (Kevin Butler kick),10,10
4,3.0,,Bears,Curtis Conway 6 yard pass from Erik Kramer (Kevin Butler kick),17,10
5,3.0,,Bears,Kevin Butler 21 yard field goal,20,10
6,4.0,,Jaguars,Ernest Givins 12 yard pass from Mark Brunell (Mike Hollis kick),20,17
7,4.0,,Bears,Curtis Conway 46 yard pass from Erik Kramer (Kevin Butler kick),27,17
8,4.0,,Jaguars,Mike Hollis 40 yard field goal,27,20
9,4.0,,Bears,Kevin Butler 20 yard field goal,30,20
10,4.0,,Jaguars,Cedric Tillman 23 yard pass from Mark Brunell (Mike Hollis kick),30,27
