,Quarter,Tm,Detail,MIA,BAL
0,1.0,Dolphins,Nat Moore 8 yard pass from Dan Marino (Uwe von Schamann kick),7,0
1,2.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),14,0
2,2.0,Dolphins,Mark Duper 28 yard pass from Dan Marino (Uwe von Schamann kick),21,0
3,4.0,Colts,Ray Butler 20 yard pass from Mike Pagel (Raul Allegre kick),21,7
