,Quarter,Tm,Detail,RAI,NWE
0,1.0,Raiders,Chris Bahr 31 yard field goal,3,0
1,1.0,Patriots,Tony Franklin 50 yard field goal,3,3
2,2.0,Patriots,Tony Collins 15 yard pass from Mosi Tatupu (Tony Franklin kick),3,10
3,2.0,Raiders,Chris Bahr 31 yard field goal,6,10
4,3.0,Patriots,Tony Franklin 27 yard field goal,6,13
5,3.0,Patriots,Tony Franklin 25 yard field goal,6,16
6,4.0,Patriots,Irving Fryar 25 yard pass from Steve Grogan (Tony Franklin kick),6,23
7,4.0,Raiders,Todd Christensen 8 yard pass from Rusty Hilger (Chris Bahr kick),13,23
8,4.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),20,23
9,4.0,Raiders,Chris Bahr 39 yard field goal,23,23
10,4.0,Patriots,Tony Franklin 29 yard field goal,23,26
