,Quarter,Time,Tm,Detail,CHI,KAN
0,1.0,8:13,Chiefs,Ramik Wilson defensive fumble recovery in end zone (Cairo Santos kick),0,7
1,1.0,0:53,Bears,Robbie Gould 44 yard field goal,3,7
2,2.0,9:57,Chiefs,De'Anthony Thomas 19 yard pass from Alex Smith (Cairo Santos kick),3,14
3,2.0,0:09,Chiefs,Cairo Santos 35 yard field goal,3,17
4,3.0,3:29,Bears,Robbie Gould 30 yard field goal,6,17
5,4.0,3:05,Bears,Marquess Wilson 22 yard pass from Jay Cutler (pass failed),12,17
6,4.0,0:18,Bears,Matt Forte 7 yard pass from Jay Cutler (pass failed),18,17
