,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Paul Hornung 6 yard pass from Bart Starr (Don Chandler kick),0,7
1,2.0,Packers,Paul Hornung 4 yard rush (Don Chandler kick),0,14
2,2.0,Packers,Don Chandler 14 yard field goal,0,17
3,2.0,Rams,Bruce Gossett 13 yard field goal,3,17
4,2.0,Rams,Bruce Gossett 35 yard field goal,6,17
5,3.0,Rams,Dick Bass 8 yard rush (Bruce Gossett kick),13,17
6,4.0,Packers,Elijah Pitts 80 yard pass from Bart Starr (Don Chandler kick),13,24
