,Quarter,Tm,Detail,CLE,WAS
0,1.0,Redskins,Jerry Smith 5 yard pass from Sonny Jurgensen (Charlie Gogolak kick),0,7
1,2.0,Browns,Erich Barnes 40 yard interception return (Don Cockroft kick),7,7
2,2.0,Redskins,Pete Larson 2 yard pass from Sonny Jurgensen (Charlie Gogolak kick),7,14
3,3.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),14,14
4,4.0,Browns,Don Cockroft 20 yard field goal,17,14
5,4.0,Browns,Paul Warfield 38 yard pass from Bill Nelsen (Don Cockroft kick),24,14
6,4.0,Redskins,Charley Taylor 31 yard pass from Jim Ninowski (Charlie Gogolak kick),24,21
