,Quarter,Time,Tm,Detail,ARI,RAM
0,1.0,,Rams,Todd Lyght 74 yard fumble return (Tony Zendejas kick),0,7
1,2.0,,Cardinals,Greg Davis 37 yard field goal,3,7
2,2.0,,Cardinals,Greg Davis 34 yard field goal,6,7
3,3.0,,Rams,Jerome Bettis 1 yard rush (Tony Zendejas kick),6,14
4,3.0,,Cardinals,Larry Centers 3 yard pass from Steve Beuerlein (pass failed),12,14
