,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,Mike Tomczak 1 yard rush (Kevin Butler kick),7,0
1,2.0,Bears,Matt Suhey 3 yard rush (Kevin Butler kick),14,0
2,2.0,Bears,Kevin Butler 32 yard field goal,17,0
3,2.0,Bears,Kevin Butler 24 yard field goal,20,0
4,3.0,Redskins,Ricky Sanders 4 yard pass from Mark Rypien (Chip Lohmiller kick),20,7
5,4.0,Bears,Dennis Gentry 22 yard pass from Mike Tomczak (Kevin Butler kick),27,7
6,4.0,Redskins,Gary Clark 3 yard pass from Mark Rypien (Chip Lohmiller kick),27,14
7,4.0,Bears,Neal Anderson 50 yard rush (Kevin Butler kick),34,14
