,Quarter,Time,Tm,Detail,STL,DAL
0,1.0,2:36,Cowboys,Jason Witten 19 yard pass from Drew Bledsoe (Shaun Suisham kick),0,7
1,2.0,14:15,Rams,Jeff Wilkins 49 yard field goal,3,7
2,2.0,1:52,Rams,Aveion Cason 8 yard rush (Jeff Wilkins kick),10,7
3,2.0,0:03,Cowboys,Shaun Suisham 22 yard field goal,10,10
4,4.0,11:57,Rams,Arlen Harris 1 yard rush (Jeff Wilkins kick),17,10
5,4.0,1:05,Rams,Jeff Wilkins 20 yard field goal,20,10
