,Quarter,Time,Tm,Detail,JAX,OAK
0,2.0,,Raiders,Tim Brown 19 yard pass from Jeff Hostetler (Cole Ford kick),0,7
1,2.0,,Raiders,Cole Ford 32 yard field goal,0,10
2,3.0,,Jaguars,Mike Hollis 33 yard field goal,3,10
3,4.0,,Raiders,Jerry Ball 66 yard interception return (Cole Ford kick),3,17
