,Quarter,Tm,Detail,ATL,NOR
0,2.0,Saints,Joel Parker 13 yard pass from Archie Manning (Bill McClard kick),0,7
1,2.0,Falcons,Gerald Tinker 72 yard punt return (Nick Mike-Mayer kick),7,7
2,3.0,Falcons,Nick Mike-Mayer 21 yard field goal,10,7
3,4.0,Falcons,Nick Mike-Mayer 27 yard field goal,13,7
4,4.0,Saints,Jess Phillips 8 yard rush (Bill McClard kick),13,14
