,Quarter,Tm,Detail,WAS,PIT
0,2,Redskins,Les Dye 13 yard pass from Sammy Baugh (Joe Aguirre kick),7,0
1,4,Redskins,Sal Rosato 3 yard rush (Joe Aguirre kick),14,0
