,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,Billy Wade 1 yard rush (Bob Jencks kick),7,0
1,3.0,Bears,Rick Casares 17 yard pass from Billy Wade (Bob Jencks kick),14,0
2,3.0,Colts,Lenny Moore 25 yard rush (Jim Martin kick),14,7
3,4.0,Bears,Roger LeClerc 12 yard field goal,17,7
